E_eV,v_m_s,dEdx_ref_eV_per_m,SN_eV_m2,nu_ref_s-1,CSDA_range_ref_m
7.244359600750e+01,3.510617562175e+05,1.596290303747e+02,1.596290303747e-20,3.867816375058e+05,9.076590748224e-01
7.585775750292e+01,3.592390262890e+05,1.633472681470e+02,1.633472681470e-20,3.867816468794e+05,9.288011677247e-01
7.943282347243e+01,3.676067688265e+05,1.671521148031e+02,1.671521148031e-20,3.867816566948e+05,9.504351158382e-01
8.317637711027e+01,3.761694204592e+05,1.710455877229e+02,1.710455877229e-20,3.867816669727e+05,9.725737402020e-01
8.709635899561e+01,3.849315211553e+05,1.750297512774e+02,1.750297512774e-20,3.867816777351e+05,9.952274708103e-01
9.120108393559e+01,3.938977166293e+05,1.791067179228e+02,1.791067179228e-20,3.867816890046e+05,1.018409038302e+00
9.549925860214e+01,4.030727608044e+05,1.832786493208e+02,1.832786493208e-20,3.867817008053e+05,1.042130856701e+00
1.000000000000e+02,4.124615183332e+05,1.875477574846e+02,1.875477574846e-20,3.867817131621e+05,1.066404545723e+00
1.047128548051e+02,4.220689671762e+05,1.919163059520e+02,1.919163059520e-20,3.867817261013e+05,1.091244490811e+00
1.096478196143e+02,4.319002012411e+05,1.963866109851e+02,1.963866109851e-20,3.867817396503e+05,1.116662394613e+00
1.148153621497e+02,4.419604330831e+05,2.009610427988e+02,2.009610427988e-20,3.867817538378e+05,1.142672541140e+00
1.202264434617e+02,4.522549966683e+05,2.056420268174e+02,2.056420268174e-20,3.867817686940e+05,1.169288859156e+00
1.258925411794e+02,4.627893502013e+05,2.104320449607e+02,2.104320449607e-20,3.867817842503e+05,1.196524386190e+00
1.318256738556e+02,4.735690790186e+05,2.153336369596e+02,2.153336369596e-20,3.867818005398e+05,1.224395262970e+00
1.380384264603e+02,4.845998985496e+05,2.203494017031e+02,2.203494017031e-20,3.867818175969e+05,1.252914620102e+00
1.445439770746e+02,4.958876573464e+05,2.254819986160e+02,2.254819986160e-20,3.867818354580e+05,1.282098484541e+00
1.513561248436e+02,5.074383401840e+05,2.307341490692e+02,2.307341490692e-20,3.867818541608e+05,1.311962484586e+00
1.584893192461e+02,5.192580712328e+05,2.361086378224e+02,2.361086378224e-20,3.867818737450e+05,1.342521248475e+00
1.659586907438e+02,5.313531173054e+05,2.416083145006e+02,2.416083145006e-20,3.867818942522e+05,1.373792886349e+00
1.737800828749e+02,5.437298911778e+05,2.472360951053e+02,2.472360951053e-20,3.867819157259e+05,1.405792131308e+00
1.819700858610e+02,5.563949549896e+05,2.529949635601e+02,2.529949635601e-20,3.867819382117e+05,1.438536966366e+00
