E_eV,SN_opt3_eV_m2,SN_opt4_eV_m2,ratio_opt4_over_opt3
3.981071705535e+04,8.825844611023e-19,8.825844611023e-19,1.000000000000e+00
4.168693834703e+04,8.722624792377e-19,8.722624792377e-19,1.000000000000e+00
4.365158322402e+04,8.606267771166e-19,8.606267771166e-19,1.000000000000e+00
4.570881896149e+04,8.506464678751e-19,8.506464678751e-19,1.000000000000e+00
4.786300923226e+04,8.392128474146e-19,8.392128474146e-19,1.000000000000e+00
5.000000000000e+04,8.277193219785e-19,8.277193219785e-19,1.000000000000e+00
5.011872336273e+04,8.271046931541e-19,8.271046931541e-19,1.000000000000e+00
5.248074602498e+04,8.152437152435e-19,8.152437152435e-19,1.000000000000e+00
5.495408738576e+04,8.016786643699e-19,8.016786643699e-19,1.000000000000e+00
5.754399373372e+04,7.884991163891e-19,7.884991163891e-19,1.000000000000e+00
6.025595860744e+04,7.743112028341e-19,7.743112028341e-19,1.000000000000e+00
6.309573444802e+04,7.600065634802e-19,7.600065634802e-19,1.000000000000e+00
6.606934480076e+04,7.461807508680e-19,7.461807508680e-19,1.000000000000e+00
6.918309709189e+04,7.328329482846e-19,7.328329482846e-19,1.000000000000e+00
7.244359600750e+04,7.199542252628e-19,7.199542252628e-19,1.000000000000e+00
7.585775750292e+04,7.045056829467e-19,7.045056829467e-19,1.000000000000e+00
7.943282347243e+04,6.893916177643e-19,6.893916177643e-19,1.000000000000e+00
8.317637711027e+04,6.748753526857e-19,6.748753526857e-19,1.000000000000e+00
8.709635899561e+04,6.608208303424e-19,6.608208303424e-19,1.000000000000e+00
9.120108393559e+04,6.453392059117e-19,6.453392059117e-19,1.000000000000e+00
9.549925860214e+04,6.304033540914e-19,6.304033540914e-19,1.000000000000e+00
1.000000000000e+05,6.159198335543e-19,6.159198335543e-19,1.000000000000e+00
1.047128548051e+05,6.010652702000e-19,6.010652702000e-19,1.000000000000e+00
1.096478196143e+05,5.862833229453e-19,5.862833229453e-19,1.000000000000e+00
1.148153621497e+05,5.719409999841e-19,5.719409999841e-19,1.000000000000e+00
1.202264434617e+05,5.574682102603e-19,5.574682102603e-19,1.000000000000e+00
1.258925411794e+05,5.431134651356e-19,5.431134651356e-19,1.000000000000e+00
1.318256738556e+05,5.291750503355e-19,5.291750503355e-19,1.000000000000e+00
1.380384264603e+05,5.151641366433e-19,5.151641366433e-19,1.000000000000e+00
1.445439770746e+05,5.017297994329e-19,5.017297994329e-19,1.000000000000e+00
1.513561248436e+05,4.878501854608e-19,4.878501854608e-19,1.000000000000e+00
1.584893192461e+05,4.743506245851e-19,4.743506245851e-19,1.000000000000e+00
1.659586907438e+05,4.614042091227e-19,4.614042091227e-19,1.000000000000e+00
1.737800828749e+05,4.488760503471e-19,4.488760503471e-19,1.000000000000e+00
1.819700858610e+05,4.359920143783e-19,4.359920143783e-19,1.000000000000e+00
1.905460717963e+05,4.236081188645e-19,4.236081188645e-19,1.000000000000e+00
1.995262314969e+05,4.116280385780e-19,4.116280385780e-19,1.000000000000e+00
2.000000000000e+05,4.110187339447e-19,4.110187339447e-19,1.000000000000e+00
2.089296130854e+05,3.997832561615e-19,3.997832561615e-19,1.000000000000e+00
2.187761623950e+05,3.882554473507e-19,3.882554473507e-19,1.000000000000e+00
2.290867652768e+05,3.770111460508e-19,3.770111460508e-19,1.000000000000e+00
2.398832919019e+05,3.660042094745e-19,3.660042094745e-19,1.000000000000e+00
2.511886431510e+05,3.552361607075e-19,3.552361607075e-19,1.000000000000e+00
2.630267991895e+05,3.446322112104e-19,3.446322112104e-19,1.000000000000e+00
2.754228703338e+05,3.343413866765e-19,3.343413866765e-19,1.000000000000e+00
2.884031503127e+05,3.243288394057e-19,3.243288394057e-19,1.000000000000e+00
3.019951720402e+05,3.142796913109e-19,3.142796913109e-19,1.000000000000e+00
3.162277660168e+05,3.044534624153e-19,3.044534624153e-19,1.000000000000e+00
3.311311214826e+05,2.949261477064e-19,2.949261477064e-19,1.000000000000e+00
3.467368504525e+05,2.856616417915e-19,2.856616417915e-19,1.000000000000e+00
3.630780547701e+05,2.766461547209e-19,2.766461547209e-19,1.000000000000e+00
3.801893963206e+05,2.678577014309e-19,2.678577014309e-19,1.000000000000e+00
3.981071705535e+05,2.593209961068e-19,2.593209961068e-19,1.000000000000e+00
4.168693834703e+05,2.510362888480e-19,2.510362888480e-19,1.000000000000e+00
4.365158322402e+05,2.429891530657e-19,2.429891530657e-19,1.000000000000e+00
4.570881896149e+05,2.351726838765e-19,2.351726838765e-19,1.000000000000e+00
4.786300923226e+05,2.275786782147e-19,2.275786782147e-19,1.000000000000e+00
5.000000000000e+05,2.201221214248e-19,2.201221214248e-19,1.000000000000e+00
5.011872336273e+05,2.197133949720e-19,2.197133949720e-19,1.000000000000e+00
5.248074602498e+05,2.119063816431e-19,2.119063816431e-19,1.000000000000e+00
