event_id,radial_kinetic_energy_eV,axial_kinetic_energy_eV,total_kinetic_energy_eV,extraction_time_ns
360,3.574355236913e+03,1.094441559195e+05,1.130185111564e+05,3.955824779834e+01
361,2.540727000794e+01,2.751801943855e+04,2.754342670856e+04,6.087503658532e+01
362,1.347419395867e+04,9.625889519063e+04,1.097330891493e+05,4.129761437707e+01
363,1.102036522922e+03,9.946259905806e+04,1.005646355810e+05,4.241684113772e+01
364,1.671435774350e+03,7.603522013309e+04,7.770665590744e+04,4.699470080060e+01
365,4.519647294645e+03,1.288957150693e+04,1.740921880157e+04,6.598737275224e+01
366,1.425253204478e+03,2.494957573732e+04,2.637482894180e+04,5.958799855494e+01
367,9.877747132600e+02,7.335010929352e+04,7.433788400678e+04,4.633884435885e+01
368,4.242907090278e+03,4.643617876111e+04,5.067908585139e+04,5.090223659992e+01
370,1.901825528870e+03,6.476690428320e+04,6.666872981207e+04,4.781964571216e+01
372,5.239664867006e+02,6.226312223758e+04,6.278708872428e+04,4.828524180478e+01
377,4.846822251406e+03,4.716277895325e+04,5.200960120465e+04,5.098444486590e+01
379,4.445212038784e+03,6.281558008471e+04,6.726079212349e+04,5.046359201705e+01
381,3.645559439399e+03,6.306654590358e+04,6.671210534298e+04,4.884945949916e+01
382,2.465940636979e+03,5.965401840424e+04,6.211995904122e+04,4.921789185636e+01
385,1.740625889546e+03,6.782346507189e+04,6.956409096143e+04,4.701433875616e+01
386,3.357607782838e+03,4.672005077305e+04,5.007765855588e+04,5.295683109116e+01
388,3.214613585214e+03,7.165717759797e+04,7.487179118319e+04,4.621362936524e+01
390,1.546616739231e+02,5.306138706858e+04,5.321604874251e+04,5.089431585214e+01
391,3.521294152054e+03,1.288953250811e+04,1.641082666017e+04,6.470365607083e+01
392,7.731730707183e+03,4.592288856953e+04,5.365461927672e+04,5.431875710497e+01
393,1.526244742810e+04,1.937837405901e+04,3.464082148711e+04,5.916369186705e+01
395,2.341112168358e+03,6.780151436825e+04,7.014262653660e+04,4.732432187089e+01
396,5.937871161026e+02,1.016340676436e+05,1.022278547597e+05,4.137964587932e+01
397,3.661591693350e+01,5.472394271743e+04,5.476055863437e+04,5.237290919437e+01
400,1.091227110481e+04,4.101012351444e+04,5.192239461925e+04,5.737715689603e+01
402,7.482926312168e+02,6.860253034297e+04,6.935082297419e+04,4.785803833941e+01
405,7.936303207741e+02,5.804705001441e+04,5.884068033518e+04,4.978398150914e+01
406,1.223836331988e+03,9.119751283528e+04,9.242134916727e+04,4.323006959408e+01
409,3.559837444452e+03,5.450742013824e+04,5.806725758269e+04,5.000975946693e+01
410,6.327683239767e+02,5.960596965352e+04,6.023873797750e+04,4.971269858157e+01
411,1.713867757709e+03,5.641923944452e+04,5.813310720223e+04,5.047242764991e+01
412,9.672988548656e+03,5.331729794806e+04,6.299028649672e+04,5.181455205298e+01
414,1.018018546702e+04,6.089885896598e+04,7.107904443301e+04,4.759870346605e+01
415,2.248536233962e+03,9.867779422738e+04,1.009263304613e+05,4.232402326173e+01
416,7.101286916701e+02,6.247314764225e+04,6.318327633392e+04,4.985065368114e+01
418,1.665264952313e+03,5.155892230971e+04,5.322418726203e+04,5.082206312606e+01
419,2.907232073723e+04,3.999639503068e+04,6.906871576791e+04,5.512822499582e+01
421,6.873910543141e+02,8.174727328622e+04,8.243466434054e+04,4.429260837250e+01
423,9.495452393464e+02,4.943256865531e+04,5.038211389466e+04,5.206581046732e+01
425,8.752429470900e+02,6.540791819095e+04,6.628316113804e+04,4.716123839613e+01
426,1.363513741049e+03,9.103630942799e+04,9.239982316904e+04,4.242084472860e+01
427,1.307217803712e+02,9.795045540250e+04,9.808117718287e+04,4.144360614999e+01
428,1.255263085447e+03,1.929412129835e+04,2.054938438380e+04,6.378027743106e+01
429,3.809798251318e+03,6.986631157981e+04,7.367610983113e+04,4.750699367735e+01
432,1.128047705374e+03,8.368844759696e+04,8.481649530233e+04,4.451634625800e+01
433,1.978288462179e+03,6.621269911751e+04,6.819098757969e+04,4.714201757945e+01
434,6.106186654050e+03,5.372165804895e+04,5.982784470300e+04,4.931326795439e+01
436,7.041540881804e+01,3.599341848882e+04,3.606383389764e+04,5.760001261886e+01
437,5.402379634456e+03,4.438535753313e+04,4.978773716759e+04,5.553744096550e+01
438,4.979756447361e+03,6.302335918111e+04,6.800311562847e+04,4.754466083802e+01
439,6.599038609773e+02,6.165744909762e+04,6.231735295860e+04,4.816630998823e+01
441,4.186692166715e+02,1.130714309145e+05,1.134901001311e+05,3.981503389164e+01
442,5.003492067275e+01,9.410115533872e+04,9.415119025939e+04,4.306948504703e+01
444,6.801012555054e+03,6.871130095427e+04,7.551231350933e+04,4.803210046569e+01
445,1.286856604877e+03,7.317764601438e+04,7.446450261925e+04,4.641729495044e+01
446,4.168650705350e+03,6.914124483045e+04,7.330989553580e+04,4.604462802810e+01
447,1.736152094332e+04,2.741827677115e+04,4.477979771447e+04,5.362939322828e+01
448,1.582890693594e+03,5.296957155115e+04,5.455246224474e+04,5.082912142203e+01
450,9.698198552382e+02,8.591072524929e+04,8.688054510453e+04,4.472968082415e+01
452,3.793345434567e+02,7.389410980325e+04,7.427344434671e+04,4.648797536944e+01
454,3.602543778747e+03,2.261019786894e+04,2.621274164769e+04,6.239818618017e+01
455,1.505090076474e+03,6.780747845187e+04,6.931256852835e+04,4.934957924661e+01
456,8.069037455379e+01,7.850129872724e+04,7.858198910179e+04,4.466549236476e+01
458,2.609934458539e+03,1.049260397336e+05,1.075359741922e+05,4.064010884617e+01
463,1.678129095923e+02,6.557442194507e+04,6.574223485466e+04,4.831868090177e+01
466,1.549708314827e+03,5.895206479389e+04,6.050177310872e+04,4.934215171257e+01
470,9.453935126251e+03,5.784385337784e+04,6.729778850409e+04,4.872920658004e+01
471,1.313191632190e+03,8.437694733993e+04,8.569013897212e+04,4.374554578320e+01
472,4.822583788275e+03,7.536447584968e+04,8.018705963795e+04,4.584735753242e+01
473,1.727530157227e+03,7.213555746492e+04,7.386308762215e+04,4.708967086562e+01
475,1.199844763912e+03,5.072833681564e+04,5.192818157955e+04,5.235490309812e+01
476,1.920309992741e+02,7.174308797093e+04,7.193511897020e+04,4.625109222626e+01
489,2.366292692558e+03,5.676607906934e+04,5.913237176190e+04,4.892422434190e+01
495,8.230659415938e+02,8.917585094830e+04,8.999891688989e+04,4.367450121276e+01
499,2.966610065675e+03,8.285818524692e+04,8.582479531260e+04,4.375965708579e+01
501,2.193279969035e+03,5.976633453282e+04,6.195961450186e+04,5.027710394239e+01
502,3.314258967575e+03,4.191277291461e+04,4.522703188219e+04,5.469015506975e+01
503,1.173828599199e+03,1.053728312327e+05,1.065466598319e+05,4.034351924034e+01
505,2.231468304796e+03,3.422345796687e+04,3.645492627167e+04,5.529417105002e+01
506,2.560789788039e+03,4.546469161860e+04,4.802548140664e+04,5.546104870972e+01
508,1.068567951082e+02,7.610034088100e+04,7.620719767611e+04,4.594847921935e+01
510,2.674679686417e+03,6.984410439836e+04,7.251878408478e+04,4.737251706856e+01
514,4.046887970483e+02,4.006226018944e+04,4.046694898649e+04,5.604751484679e+01
523,4.357796221679e+02,3.224013841025e+04,3.267591803242e+04,6.025350414493e+01
524,2.803133926912e+02,4.437214068340e+04,4.465245407609e+04,5.382445637909e+01
526,2.470721247691e+03,3.763494575417e+04,4.010566700186e+04,5.807877236140e+01
527,6.443380909829e+01,9.829629227388e+04,9.836072608298e+04,4.175771525492e+01
528,3.166039494068e+03,7.128420652767e+04,7.445024602174e+04,4.662490511429e+01
529,2.957571092319e+02,1.219659474582e+05,1.222617045675e+05,3.863082967401e+01
530,4.935200782694e+01,6.378882646847e+04,6.383817847630e+04,4.833501081279e+01
531,1.317443545032e+03,7.623172525804e+04,7.754916880307e+04,4.616615383110e+01
532,6.085268839334e+03,6.893360164661e+04,7.501887048595e+04,4.708213759796e+01
533,1.602899900188e+03,2.805034196927e+04,2.965324186945e+04,5.800758890750e+01
534,2.533648214789e+03,5.592547239787e+04,5.845912061266e+04,5.118347029876e+01
535,7.188330538004e+01,8.995223477507e+04,9.002411808045e+04,4.334234374006e+01
536,5.891164260382e+02,7.077764797284e+04,7.136676439888e+04,4.655455509138e+01
537,7.317687987876e+01,4.074995966253e+04,4.082313654241e+04,5.466766342907e+01
538,2.442573363230e+03,7.562974482491e+04,7.807231818814e+04,4.654922513862e+01
539,4.689207346398e+03,3.688719026166e+04,4.157639760806e+04,5.559276463257e+01
540,4.130697583028e+02,8.122792379073e+04,8.164099354903e+04,4.433585080607e+01
543,2.470496253056e+03,7.132003189896e+04,7.379052815201e+04,4.582170613494e+01
544,3.384308731884e+03,8.704995585754e+04,9.043426458942e+04,4.382648989940e+01
546,4.971969148521e+03,7.357419361039e+04,7.854616275891e+04,4.681464200241e+01
550,3.174349682554e+03,9.384478391339e+04,9.701913359594e+04,4.341817352006e+01
556,4.709903792534e+03,8.391414876182e+04,8.862405255435e+04,4.453977248104e+01
557,9.151081952628e+03,7.972456001528e+04,8.887564196791e+04,4.410703365352e+01
560,1.692499239793e+03,4.467069001041e+04,4.636318925020e+04,5.318835865863e+01
561,4.834954939396e+03,6.191002342386e+04,6.674497836326e+04,4.797698193825e+01
