source_case,plane,x_mm,y_mm,z_mm,V_V,Ex_V_per_m,Ey_V_per_m,Ez_V_per_m,E_V_per_m,Eperp_V_per_m,U_mu_eV,electrode,rho_mm
transport_highfield_10_v2,y=0_xz,-22.54067512927073,-4.440892098500626e-16,30.313957442854477,0.5900708339872195,-39.98529733885105,0.3396634051109359,-51.149206132225125,65.08434217942785,40.12742581211164,-0.5900708388486904,V1,22.54067512927073
transport_highfield_10_v2,y=0_xz,-23.68138706980718,2.220446049250313e-16,30.542087322121446,0.5463381493967956,-42.35190677692575,0.7045107310549164,-53.80637741588815,68.89764306037645,42.48525232966562,-0.5463381538979619,V1,23.68138706980718
transport_highfield_10_v2,y=0_xz,22.428867828016767,0.0,26.22245679255874,0.4132511435854348,37.367495450666645,0.06051826703251724,-32.9788284793359,50.13519230421749,37.73419417056857,-0.41325114699012494,V1,22.428867828016767
transport_highfield_10_v2,y=0_xz,18.863450136555777,3.3306690738754696e-16,28.334473485802746,0.6170614265005538,31.649713307483353,0.1502617010684688,-45.542641626982714,55.60539979048612,31.784234424651522,-0.6170614315843945,V1,18.863450136555777
transport_highfield_10_v2,y=0_xz,16.55041678980607,-2.220446049250313e-16,26.49720743303154,0.6083653410882545,25.96072157572516,0.02847933284335293,-40.333096899346266,48.18404166163892,26.284122864108035,-0.6083653461004498,V1,16.55041678980607
transport_highfield_10_v2,y=0_xz,21.325125713988825,2.220446049250313e-16,26.125426488137386,0.44739360763125335,34.372492942826426,-0.161951258521432,-33.22133147579352,48.24443892792601,34.752046850144126,-0.4473936113172362,V1,21.325125713988825
transport_highfield_10_v2,y=0_xz,12.039483171322718,0.0,30.622039683357084,0.8861397342374143,20.954682931656535,0.08886227563710705,-57.4332348637913,62.23093931173804,23.942787093660563,-0.8861397415381351,V1,12.039483171322718
transport_highfield_10_v2,y=0_xz,15.66084181250171,0.0,27.386642231698396,0.6743687333066186,25.16385844638644,0.0661856595516051,-44.334224528114625,51.34213403226432,25.691326624325324,-0.6743687388626023,V1,15.66084181250171
transport_highfield_10_v2,y=0_xz,-23.202508046580835,2.220446049250313e-16,23.8437256784157,0.3377039303393496,-31.828627119465455,0.2691189994279175,-22.108469687649475,39.66399417374915,32.148452690582396,-0.33770393312162206,V1,23.202508046580835
transport_highfield_10_v2,y=0_xz,-24.241989161402348,4.440892098500626e-16,22.696344794206397,0.2619998558902609,-31.253954970557707,-0.14079571603707114,-15.806599720579753,35.780026369480055,31.69620397087376,-0.26199985804882325,V1,24.241989161402348
transport_highfield_10_v2,y=0_xz,-21.99253438072772,0.0,21.997161652200575,0.32148580708571733,-28.06552622388787,0.10772369663736318,-18.840088428092624,34.26869280917965,28.19842949579287,-0.32148580973437196,V1,21.99253438072772
transport_highfield_10_v2,y=0_xz,-24.404700442759296,-4.440892098500626e-16,21.71494116375725,0.2530300351423387,-29.423682986947284,1.0532131176860726,-15.122733166294857,33.71985446685409,29.662733096217227,-0.25303003722700046,V1,24.404700442759296
transport_highfield_10_v2,y=0_xz,-16.842497357015063,2.220446049250313e-16,27.3274784814286,0.6211801732176171,-27.37013330277885,0.19168758392116453,-43.34317225262382,52.10765029880021,27.67913905206433,-0.6211801783353913,V1,16.842497357015063
